estatus,id,Fecha
4,2,4/9/2023 16:45:20
1,3,4/9/2023 16:45:20
1,4,4/9/2023 16:45:20
1,5,4/9/2023 16:45:20
4,6,4/9/2023 16:45:20
1,7,4/9/2023 16:45:20
1,8,4/9/2023 16:45:20
1,9,4/9/2023 16:45:20
4,10,4/9/2023 16:45:20
1,11,4/9/2023 16:45:20
0,12,4/9/2023 16:45:20
0,13,4/9/2023 16:45:20
0,14,4/9/2023 16:45:20
1,15,4/9/2023 16:45:20
0,16,4/9/2023 16:45:20
0,17,4/9/2023 16:45:20
0,18,4/9/2023 16:45:20
4,19,4/9/2023 16:45:20
4,20,4/9/2023 16:45:20
1,21,4/9/2023 16:45:20
4,22,4/9/2023 16:45:20
1,23,4/9/2023 16:45:20
4,24,4/9/2023 16:45:20
1,25,4/9/2023 16:45:20
1,26,4/9/2023 16:45:20
1,27,4/9/2023 16:45:20
4,28,4/9/2023 16:45:20
4,29,4/9/2023 16:45:20
4,30,4/9/2023 16:45:20
4,31,4/9/2023 16:45:20
4,32,4/9/2023 16:45:20
1,33,4/9/2023 16:45:20
4,34,4/9/2023 16:45:20
4,35,4/9/2023 16:45:20
1,36,4/9/2023 16:45:20
4,37,4/9/2023 16:45:20
1,38,4/9/2023 16:45:20
1,39,4/9/2023 16:45:20
1,1,4/9/2023 17:00:20
4,2,4/9/2023 17:00:20
1,3,4/9/2023 17:00:20
1,4,4/9/2023 17:00:20
1,5,4/9/2023 17:00:20
4,6,4/9/2023 17:00:20
1,7,4/9/2023 17:00:20
1,8,4/9/2023 17:00:20
1,9,4/9/2023 17:00:20
4,10,4/9/2023 17:00:20
1,11,4/9/2023 17:00:20
0,12,4/9/2023 17:00:20
0,13,4/9/2023 17:00:20
0,14,4/9/2023 17:00:20
1,15,4/9/2023 17:00:20
0,16,4/9/2023 17:00:20
0,17,4/9/2023 17:00:20
0,18,4/9/2023 17:00:20
4,19,4/9/2023 17:00:20
4,20,4/9/2023 17:00:20
1,21,4/9/2023 17:00:20
4,22,4/9/2023 17:00:20
1,23,4/9/2023 17:00:20
4,24,4/9/2023 17:00:20
1,25,4/9/2023 17:00:20
1,26,4/9/2023 17:00:20
1,27,4/9/2023 17:00:20
4,28,4/9/2023 17:00:20
4,29,4/9/2023 17:00:20
4,30,4/9/2023 17:00:20
4,31,4/9/2023 17:00:20
4,32,4/9/2023 17:00:20
1,33,4/9/2023 17:00:20
4,34,4/9/2023 17:00:20
4,35,4/9/2023 17:00:20
1,36,4/9/2023 17:00:20
4,37,4/9/2023 17:00:20
1,38,4/9/2023 17:00:20
1,39,4/9/2023 17:00:20
1,1,4/9/2023 17:15:20
4,2,4/9/2023 17:15:20
1,3,4/9/2023 17:15:20
1,4,4/9/2023 17:15:20
1,5,4/9/2023 17:15:20
4,6,4/9/2023 17:15:20
1,7,4/9/2023 17:15:20
1,8,4/9/2023 17:15:20
1,9,4/9/2023 17:15:20
4,10,4/9/2023 17:15:20
1,11,4/9/2023 17:15:20
0,12,4/9/2023 17:15:20
0,13,4/9/2023 17:15:20
0,14,4/9/2023 17:15:20
1,15,4/9/2023 17:15:20
0,16,4/9/2023 17:15:20
0,17,4/9/2023 17:15:20
0,18,4/9/2023 17:15:20
4,19,4/9/2023 17:15:20
4,20,4/9/2023 17:15:20
1,21,4/9/2023 17:15:20
4,22,4/9/2023 17:15:20
1,23,4/9/2023 17:15:20
4,24,4/9/2023 17:15:20
1,25,4/9/2023 17:15:20
1,26,4/9/2023 17:15:20
1,27,4/9/2023 17:15:20
4,28,4/9/2023 17:15:20
4,29,4/9/2023 17:15:20
4,30,4/9/2023 17:15:20
4,31,4/9/2023 17:15:20
4,32,4/9/2023 17:15:20
1,33,4/9/2023 17:15:20
4,34,4/9/2023 17:15:20
4,35,4/9/2023 17:15:20
1,36,4/9/2023 17:15:20
4,37,4/9/2023 17:15:20
1,38,4/9/2023 17:15:20
1,39,4/9/2023 17:15:20
1,1,4/9/2023 17:30:20
4,2,4/9/2023 17:30:20
1,3,4/9/2023 17:30:20
1,4,4/9/2023 17:30:20
1,5,4/9/2023 17:30:20
4,6,4/9/2023 17:30:20
1,7,4/9/2023 17:30:20
1,8,4/9/2023 17:30:20
1,9,4/9/2023 17:30:20
4,10,4/9/2023 17:30:20
1,11,4/9/2023 17:30:20
0,12,4/9/2023 17:30:20
0,13,4/9/2023 17:30:20
0,14,4/9/2023 17:30:20
1,15,4/9/2023 17:30:20
0,16,4/9/2023 17:30:20
0,17,4/9/2023 17:30:20
0,18,4/9/2023 17:30:20
4,19,4/9/2023 17:30:20
4,20,4/9/2023 17:30:20
1,21,4/9/2023 17:30:20
4,22,4/9/2023 17:30:20
1,23,4/9/2023 17:30:20
4,24,4/9/2023 17:30:20
1,25,4/9/2023 17:30:20
1,26,4/9/2023 17:30:20
1,27,4/9/2023 17:30:20
4,28,4/9/2023 17:30:20
4,29,4/9/2023 17:30:20
4,30,4/9/2023 17:30:20
4,31,4/9/2023 17:30:20
4,32,4/9/2023 17:30:20
1,33,4/9/2023 17:30:20
4,34,4/9/2023 17:30:20
4,35,4/9/2023 17:30:20
1,36,4/9/2023 17:30:20
4,37,4/9/2023 17:30:20
1,38,4/9/2023 17:30:20
1,39,4/9/2023 17:30:20
1,1,4/9/2023 17:45:19
4,2,4/9/2023 17:45:19
1,3,4/9/2023 17:45:19
1,4,4/9/2023 17:45:19
1,5,4/9/2023 17:45:19
4,6,4/9/2023 17:45:19
1,7,4/9/2023 17:45:19
1,8,4/9/2023 17:45:19
1,9,4/9/2023 17:45:19
4,10,4/9/2023 17:45:19
1,11,4/9/2023 17:45:19
0,12,4/9/2023 17:45:19
0,13,4/9/2023 17:45:19
0,14,4/9/2023 17:45:19
1,15,4/9/2023 17:45:19
0,16,4/9/2023 17:45:19
0,17,4/9/2023 17:45:19
0,18,4/9/2023 17:45:19
4,19,4/9/2023 17:45:19
4,20,4/9/2023 17:45:19
1,21,4/9/2023 17:45:19
4,22,4/9/2023 17:45:19
1,23,4/9/2023 17:45:19
4,24,4/9/2023 17:45:19
1,25,4/9/2023 17:45:19
1,26,4/9/2023 17:45:19
1,27,4/9/2023 17:45:19
4,28,4/9/2023 17:45:19
4,29,4/9/2023 17:45:19
4,30,4/9/2023 17:45:19
4,31,4/9/2023 17:45:19
4,32,4/9/2023 17:45:19
1,33,4/9/2023 17:45:19
4,34,4/9/2023 17:45:19
4,35,4/9/2023 17:45:19
1,36,4/9/2023 17:45:19
4,37,4/9/2023 17:45:19
1,38,4/9/2023 17:45:19
1,39,4/9/2023 17:45:19
1,1,4/9/2023 18:00:20
4,2,4/9/2023 18:00:20
1,3,4/9/2023 18:00:20
1,4,4/9/2023 18:00:20
1,5,4/9/2023 18:00:20
4,6,4/9/2023 18:00:20
1,7,4/9/2023 18:00:20
1,8,4/9/2023 18:00:20
1,9,4/9/2023 18:00:20
4,10,4/9/2023 18:00:20
1,11,4/9/2023 18:00:20
0,12,4/9/2023 18:00:20
0,13,4/9/2023 18:00:20
0,14,4/9/2023 18:00:20
1,15,4/9/2023 18:00:20
0,16,4/9/2023 18:00:20
0,17,4/9/2023 18:00:20
0,18,4/9/2023 18:00:20
4,19,4/9/2023 18:00:20
4,20,4/9/2023 18:00:20
1,21,4/9/2023 18:00:20
4,22,4/9/2023 18:00:20
1,23,4/9/2023 18:00:20
4,24,4/9/2023 18:00:20
1,25,4/9/2023 18:00:20
1,26,4/9/2023 18:00:20
1,27,4/9/2023 18:00:20
4,28,4/9/2023 18:00:20
4,29,4/9/2023 18:00:20
4,30,4/9/2023 18:00:20
4,31,4/9/2023 18:00:20
4,32,4/9/2023 18:00:20
1,33,4/9/2023 18:00:20
4,34,4/9/2023 18:00:20
4,35,4/9/2023 18:00:20
1,36,4/9/2023 18:00:20
4,37,4/9/2023 18:00:20
1,38,4/9/2023 18:00:20
1,39,4/9/2023 18:00:20
1,1,4/9/2023 18:15:20
4,2,4/9/2023 18:15:20
1,3,4/9/2023 18:15:20
1,4,4/9/2023 18:15:20
1,5,4/9/2023 18:15:20
4,6,4/9/2023 18:15:20
1,7,4/9/2023 18:15:20
1,8,4/9/2023 18:15:20
1,9,4/9/2023 18:15:20
4,10,4/9/2023 18:15:20
1,11,4/9/2023 18:15:20
0,12,4/9/2023 18:15:20
0,13,4/9/2023 18:15:20
0,14,4/9/2023 18:15:20
1,15,4/9/2023 18:15:20
0,16,4/9/2023 18:15:20
0,17,4/9/2023 18:15:20
0,18,4/9/2023 18:15:20
4,19,4/9/2023 18:15:20
4,20,4/9/2023 18:15:20
1,21,4/9/2023 18:15:20
4,22,4/9/2023 18:15:20
1,23,4/9/2023 18:15:20
4,24,4/9/2023 18:15:20
1,25,4/9/2023 18:15:20
1,26,4/9/2023 18:15:20
1,27,4/9/2023 18:15:20
4,28,4/9/2023 18:15:20
4,29,4/9/2023 18:15:20
4,30,4/9/2023 18:15:20
4,31,4/9/2023 18:15:20
4,32,4/9/2023 18:15:20
1,33,4/9/2023 18:15:20
4,34,4/9/2023 18:15:20
4,35,4/9/2023 18:15:20
1,36,4/9/2023 18:15:20
4,37,4/9/2023 18:15:20
1,38,4/9/2023 18:15:20
1,39,4/9/2023 18:15:20
1,1,4/9/2023 18:30:20
4,2,4/9/2023 18:30:20
1,3,4/9/2023 18:30:20
1,4,4/9/2023 18:30:20
1,5,4/9/2023 18:30:20
4,6,4/9/2023 18:30:20
1,7,4/9/2023 18:30:20
1,8,4/9/2023 18:30:20
1,9,4/9/2023 18:30:20
4,10,4/9/2023 18:30:20
1,11,4/9/2023 18:30:20
0,12,4/9/2023 18:30:20
0,13,4/9/2023 18:30:20
0,14,4/9/2023 18:30:20
1,15,4/9/2023 18:30:20
0,16,4/9/2023 18:30:20
0,17,4/9/2023 18:30:20
0,18,4/9/2023 18:30:20
4,19,4/9/2023 18:30:20
4,20,4/9/2023 18:30:20
1,21,4/9/2023 18:30:20
4,22,4/9/2023 18:30:20
1,23,4/9/2023 18:30:20
4,24,4/9/2023 18:30:20
1,25,4/9/2023 18:30:20
1,26,4/9/2023 18:30:20
1,27,4/9/2023 18:30:20
4,28,4/9/2023 18:30:20
4,29,4/9/2023 18:30:20
4,30,4/9/2023 18:30:20
4,31,4/9/2023 18:30:20
4,32,4/9/2023 18:30:20
1,33,4/9/2023 18:30:20
4,34,4/9/2023 18:30:20
4,35,4/9/2023 18:30:20
1,36,4/9/2023 18:30:20
4,37,4/9/2023 18:30:20
1,38,4/9/2023 18:30:20
1,39,4/9/2023 18:30:20
1,1,4/9/2023 18:45:20
4,2,4/9/2023 18:45:20
1,3,4/9/2023 18:45:20
1,4,4/9/2023 18:45:20
1,5,4/9/2023 18:45:20
4,6,4/9/2023 18:45:20
1,7,4/9/2023 18:45:20
1,8,4/9/2023 18:45:20
1,9,4/9/2023 18:45:20
4,10,4/9/2023 18:45:20
1,11,4/9/2023 18:45:20
0,12,4/9/2023 18:45:20
0,13,4/9/2023 18:45:20
0,14,4/9/2023 18:45:20
1,15,4/9/2023 18:45:20
0,16,4/9/2023 18:45:20
0,17,4/9/2023 18:45:20
0,18,4/9/2023 18:45:20
4,19,4/9/2023 18:45:20
4,20,4/9/2023 18:45:20
1,21,4/9/2023 18:45:20
4,22,4/9/2023 18:45:20
1,23,4/9/2023 18:45:20
4,24,4/9/2023 18:45:20
1,25,4/9/2023 18:45:20
1,26,4/9/2023 18:45:20
1,27,4/9/2023 18:45:20
4,28,4/9/2023 18:45:20
4,29,4/9/2023 18:45:20
4,30,4/9/2023 18:45:20
4,31,4/9/2023 18:45:20
4,32,4/9/2023 18:45:20
1,33,4/9/2023 18:45:20
4,34,4/9/2023 18:45:20
4,35,4/9/2023 18:45:20
1,36,4/9/2023 18:45:20
4,37,4/9/2023 18:45:20
1,38,4/9/2023 18:45:20
1,39,4/9/2023 18:45:20
1,1,4/9/2023 19:00:20
4,2,4/9/2023 19:00:20
1,3,4/9/2023 19:00:20
1,4,4/9/2023 19:00:20
1,5,4/9/2023 19:00:20
4,6,4/9/2023 19:00:20
1,7,4/9/2023 19:00:20
1,8,4/9/2023 19:00:20
1,9,4/9/2023 19:00:20
4,10,4/9/2023 19:00:20
1,11,4/9/2023 19:00:20
0,12,4/9/2023 19:00:20
0,13,4/9/2023 19:00:20
0,14,4/9/2023 19:00:20
1,15,4/9/2023 19:00:20
0,16,4/9/2023 19:00:20
0,17,4/9/2023 19:00:20
0,18,4/9/2023 19:00:20
4,19,4/9/2023 19:00:20
4,20,4/9/2023 19:00:20
1,21,4/9/2023 19:00:20
4,22,4/9/2023 19:00:20
1,23,4/9/2023 19:00:20
4,24,4/9/2023 19:00:20
1,25,4/9/2023 19:00:20
1,26,4/9/2023 19:00:20
1,27,4/9/2023 19:00:20
4,28,4/9/2023 19:00:20
4,29,4/9/2023 19:00:20
4,30,4/9/2023 19:00:20
4,31,4/9/2023 19:00:20
4,32,4/9/2023 19:00:20
1,33,4/9/2023 19:00:20
4,34,4/9/2023 19:00:20
4,35,4/9/2023 19:00:20
1,36,4/9/2023 19:00:20
4,37,4/9/2023 19:00:20
1,38,4/9/2023 19:00:20
1,39,4/9/2023 19:00:20
1,1,4/9/2023 19:16:19
4,2,4/9/2023 19:16:19
1,3,4/9/2023 19:16:19
1,4,4/9/2023 19:16:19
1,5,4/9/2023 19:16:19
4,6,4/9/2023 19:16:19
1,7,4/9/2023 19:16:19
1,8,4/9/2023 19:16:19
1,9,4/9/2023 19:16:19
4,10,4/9/2023 19:16:19
1,11,4/9/2023 19:16:19
0,12,4/9/2023 19:16:19
0,13,4/9/2023 19:16:19
0,14,4/9/2023 19:16:19
1,15,4/9/2023 19:16:19
0,16,4/9/2023 19:16:19
0,17,4/9/2023 19:16:19
0,18,4/9/2023 19:16:19
4,19,4/9/2023 19:16:19
4,20,4/9/2023 19:16:19
1,21,4/9/2023 19:16:19
4,22,4/9/2023 19:16:19
1,23,4/9/2023 19:16:19
4,24,4/9/2023 19:16:19
1,25,4/9/2023 19:16:19
1,26,4/9/2023 19:16:19
1,27,4/9/2023 19:16:19
4,28,4/9/2023 19:16:19
4,29,4/9/2023 19:16:19
4,30,4/9/2023 19:16:19
4,31,4/9/2023 19:16:19
4,32,4/9/2023 19:16:19
1,33,4/9/2023 19:16:19
4,34,4/9/2023 19:16:19
4,35,4/9/2023 19:16:19
1,36,4/9/2023 19:16:19
4,37,4/9/2023 19:16:19
1,38,4/9/2023 19:16:19
1,39,4/9/2023 19:16:19
1,1,4/9/2023 19:31:19
4,2,4/9/2023 19:31:19
1,3,4/9/2023 19:31:19
1,4,4/9/2023 19:31:19
1,5,4/9/2023 19:31:19
4,6,4/9/2023 19:31:19
1,7,4/9/2023 19:31:19
1,8,4/9/2023 19:31:19
1,9,4/9/2023 19:31:19
4,10,4/9/2023 19:31:19
1,11,4/9/2023 19:31:19
0,12,4/9/2023 19:31:19
0,13,4/9/2023 19:31:19
0,14,4/9/2023 19:31:19
1,15,4/9/2023 19:31:19
0,16,4/9/2023 19:31:19
0,17,4/9/2023 19:31:19
0,18,4/9/2023 19:31:19
4,19,4/9/2023 19:31:19
4,20,4/9/2023 19:31:19
1,21,4/9/2023 19:31:19
4,22,4/9/2023 19:31:19
1,23,4/9/2023 19:31:19
4,24,4/9/2023 19:31:19
1,25,4/9/2023 19:31:19
1,26,4/9/2023 19:31:19
1,27,4/9/2023 19:31:19
4,28,4/9/2023 19:31:19
4,29,4/9/2023 19:31:19
4,30,4/9/2023 19:31:19
4,31,4/9/2023 19:31:19
4,32,4/9/2023 19:31:19
1,33,4/9/2023 19:31:19
4,34,4/9/2023 19:31:19
4,35,4/9/2023 19:31:19
1,36,4/9/2023 19:31:19
4,37,4/9/2023 19:31:19
1,38,4/9/2023 19:31:19
1,39,4/9/2023 19:31:19
1,1,4/9/2023 19:46:20
4,2,4/9/2023 19:46:20
1,3,4/9/2023 19:46:20
1,4,4/9/2023 19:46:20
1,5,4/9/2023 19:46:20
4,6,4/9/2023 19:46:20
1,7,4/9/2023 19:46:20
1,8,4/9/2023 19:46:20
1,9,4/9/2023 19:46:20
4,10,4/9/2023 19:46:20
1,11,4/9/2023 19:46:20
0,12,4/9/2023 19:46:20
0,13,4/9/2023 19:46:20
0,14,4/9/2023 19:46:20
1,15,4/9/2023 19:46:20
0,16,4/9/2023 19:46:20
0,17,4/9/2023 19:46:20
0,18,4/9/2023 19:46:20
4,19,4/9/2023 19:46:20
4,20,4/9/2023 19:46:20
1,21,4/9/2023 19:46:20
4,22,4/9/2023 19:46:20
1,23,4/9/2023 19:46:20
4,24,4/9/2023 19:46:20
1,25,4/9/2023 19:46:20
1,26,4/9/2023 19:46:20
1,27,4/9/2023 19:46:20
4,28,4/9/2023 19:46:20
4,29,4/9/2023 19:46:20
4,30,4/9/2023 19:46:20
4,31,4/9/2023 19:46:20
4,32,4/9/2023 19:46:20
1,33,4/9/2023 19:46:20
4,34,4/9/2023 19:46:20
4,35,4/9/2023 19:46:20
1,36,4/9/2023 19:46:20
4,37,4/9/2023 19:46:20
1,38,4/9/2023 19:46:20
1,39,4/9/2023 19:46:20
1,1,4/9/2023 20:01:20
4,2,4/9/2023 20:01:20
1,3,4/9/2023 20:01:20
1,4,4/9/2023 20:01:20
1,5,4/9/2023 20:01:20
4,6,4/9/2023 20:01:20
1,7,4/9/2023 20:01:20
1,8,4/9/2023 20:01:20
1,9,4/9/2023 20:01:20
4,10,4/9/2023 20:01:20
1,11,4/9/2023 20:01:20
0,12,4/9/2023 20:01:20
0,13,4/9/2023 20:01:20
0,14,4/9/2023 20:01:20
1,15,4/9/2023 20:01:20
0,16,4/9/2023 20:01:20
0,17,4/9/2023 20:01:20
0,18,4/9/2023 20:01:20
4,19,4/9/2023 20:01:20
4,20,4/9/2023 20:01:20
1,21,4/9/2023 20:01:20
4,22,4/9/2023 20:01:20
1,23,4/9/2023 20:01:20
4,24,4/9/2023 20:01:20
1,25,4/9/2023 20:01:20
1,26,4/9/2023 20:01:20
1,27,4/9/2023 20:01:20
4,28,4/9/2023 20:01:20
4,29,4/9/2023 20:01:20
4,30,4/9/2023 20:01:20
4,31,4/9/2023 20:01:20
4,32,4/9/2023 20:01:20
1,33,4/9/2023 20:01:20
4,34,4/9/2023 20:01:20
4,35,4/9/2023 20:01:20
1,36,4/9/2023 20:01:20
4,37,4/9/2023 20:01:20
1,38,4/9/2023 20:01:20
1,39,4/9/2023 20:01:20
1,1,4/9/2023 20:16:20
4,2,4/9/2023 20:16:20
1,3,4/9/2023 20:16:20
1,4,4/9/2023 20:16:20
1,5,4/9/2023 20:16:20
4,6,4/9/2023 20:16:20
1,7,4/9/2023 20:16:20
1,8,4/9/2023 20:16:20
1,9,4/9/2023 20:16:20
4,10,4/9/2023 20:16:20
1,11,4/9/2023 20:16:20
0,12,4/9/2023 20:16:20
0,13,4/9/2023 20:16:20
0,14,4/9/2023 20:16:20
1,15,4/9/2023 20:16:20
0,16,4/9/2023 20:16:20
0,17,4/9/2023 20:16:20
0,18,4/9/2023 20:16:20
4,19,4/9/2023 20:16:20
4,20,4/9/2023 20:16:20
1,21,4/9/2023 20:16:20
4,22,4/9/2023 20:16:20
1,23,4/9/2023 20:16:20
4,24,4/9/2023 20:16:20
1,25,4/9/2023 20:16:20
1,26,4/9/2023 20:16:20
1,27,4/9/2023 20:16:20
4,28,4/9/2023 20:16:20
4,29,4/9/2023 20:16:20
4,30,4/9/2023 20:16:20
4,31,4/9/2023 20:16:20
4,32,4/9/2023 20:16:20
1,33,4/9/2023 20:16:20
4,34,4/9/2023 20:16:20
4,35,4/9/2023 20:16:20
1,36,4/9/2023 20:16:20
4,37,4/9/2023 20:16:20
1,38,4/9/2023 20:16:20
1,39,4/9/2023 20:16:20
1,1,4/9/2023 20:31:20
4,2,4/9/2023 20:31:20
1,3,4/9/2023 20:31:20
1,4,4/9/2023 20:31:20
1,5,4/9/2023 20:31:20
4,6,4/9/2023 20:31:20
1,7,4/9/2023 20:31:20
1,8,4/9/2023 20:31:20
1,9,4/9/2023 20:31:20
4,10,4/9/2023 20:31:20
1,11,4/9/2023 20:31:20
0,12,4/9/2023 20:31:20
0,13,4/9/2023 20:31:20
0,14,4/9/2023 20:31:20
1,15,4/9/2023 20:31:20
0,16,4/9/2023 20:31:20
0,17,4/9/2023 20:31:20
0,18,4/9/2023 20:31:20
4,19,4/9/2023 20:31:20
4,20,4/9/2023 20:31:20
1,21,4/9/2023 20:31:20
4,22,4/9/2023 20:31:20
1,23,4/9/2023 20:31:20
4,24,4/9/2023 20:31:20
1,25,4/9/2023 20:31:20
1,26,4/9/2023 20:31:20
1,27,4/9/2023 20:31:20
4,28,4/9/2023 20:31:20
4,29,4/9/2023 20:31:20
4,30,4/9/2023 20:31:20
4,31,4/9/2023 20:31:20
4,32,4/9/2023 20:31:20
1,33,4/9/2023 20:31:20
4,34,4/9/2023 20:31:20
4,35,4/9/2023 20:31:20
1,36,4/9/2023 20:31:20
4,37,4/9/2023 20:31:20
1,38,4/9/2023 20:31:20
1,39,4/9/2023 20:31:20
1,1,4/9/2023 20:46:20
4,2,4/9/2023 20:46:20
1,3,4/9/2023 20:46:20
1,4,4/9/2023 20:46:20
1,5,4/9/2023 20:46:20
4,6,4/9/2023 20:46:20
1,7,4/9/2023 20:46:20
1,8,4/9/2023 20:46:20
1,9,4/9/2023 20:46:20
4,10,4/9/2023 20:46:20
1,11,4/9/2023 20:46:20
0,12,4/9/2023 20:46:20
0,13,4/9/2023 20:46:20
0,14,4/9/2023 20:46:20
1,15,4/9/2023 20:46:20
0,16,4/9/2023 20:46:20
0,17,4/9/2023 20:46:20
0,18,4/9/2023 20:46:20
4,19,4/9/2023 20:46:20
4,20,4/9/2023 20:46:20
1,21,4/9/2023 20:46:20
4,22,4/9/2023 20:46:20
1,23,4/9/2023 20:46:20
4,24,4/9/2023 20:46:20
1,25,4/9/2023 20:46:20
1,26,4/9/2023 20:46:20
1,27,4/9/2023 20:46:20
4,28,4/9/2023 20:46:20
4,29,4/9/2023 20:46:20
4,30,4/9/2023 20:46:20
4,31,4/9/2023 20:46:20
4,32,4/9/2023 20:46:20
1,33,4/9/2023 20:46:20
4,34,4/9/2023 20:46:20
4,35,4/9/2023 20:46:20
1,36,4/9/2023 20:46:20
4,37,4/9/2023 20:46:20
1,38,4/9/2023 20:46:20
1,39,4/9/2023 20:46:20
1,1,4/9/2023 21:01:19
4,2,4/9/2023 21:01:19
1,3,4/9/2023 21:01:19
1,4,4/9/2023 21:01:19
1,5,4/9/2023 21:01:19
4,6,4/9/2023 21:01:19
1,7,4/9/2023 21:01:19
1,8,4/9/2023 21:01:19
1,9,4/9/2023 21:01:19
4,10,4/9/2023 21:01:19
1,11,4/9/2023 21:01:19
0,12,4/9/2023 21:01:19
0,13,4/9/2023 21:01:19
0,14,4/9/2023 21:01:19
1,15,4/9/2023 21:01:19
0,16,4/9/2023 21:01:19
0,17,4/9/2023 21:01:19
0,18,4/9/2023 21:01:19
4,19,4/9/2023 21:01:19
4,20,4/9/2023 21:01:19
1,21,4/9/2023 21:01:19
4,22,4/9/2023 21:01:19
1,23,4/9/2023 21:01:19
4,24,4/9/2023 21:01:19
1,25,4/9/2023 21:01:19
1,26,4/9/2023 21:01:19
1,27,4/9/2023 21:01:19
4,28,4/9/2023 21:01:19
4,29,4/9/2023 21:01:19
4,30,4/9/2023 21:01:19
4,31,4/9/2023 21:01:19
4,32,4/9/2023 21:01:19
1,33,4/9/2023 21:01:19
4,34,4/9/2023 21:01:19
4,35,4/9/2023 21:01:19
1,36,4/9/2023 21:01:19
4,37,4/9/2023 21:01:19
1,38,4/9/2023 21:01:19
1,39,4/9/2023 21:01:19
1,1,4/9/2023 21:16:20
4,2,4/9/2023 21:16:20
1,3,4/9/2023 21:16:20
1,4,4/9/2023 21:16:20
1,5,4/9/2023 21:16:20
4,6,4/9/2023 21:16:20
1,7,4/9/2023 21:16:20
1,8,4/9/2023 21:16:20
1,9,4/9/2023 21:16:20
4,10,4/9/2023 21:16:20
1,11,4/9/2023 21:16:20
0,12,4/9/2023 21:16:20
0,13,4/9/2023 21:16:20
0,14,4/9/2023 21:16:20
1,15,4/9/2023 21:16:20
0,16,4/9/2023 21:16:20
0,17,4/9/2023 21:16:20
0,18,4/9/2023 21:16:20
4,19,4/9/2023 21:16:20
4,20,4/9/2023 21:16:20
1,21,4/9/2023 21:16:20
4,22,4/9/2023 21:16:20
1,23,4/9/2023 21:16:20
4,24,4/9/2023 21:16:20
1,25,4/9/2023 21:16:20
1,26,4/9/2023 21:16:20
1,27,4/9/2023 21:16:20
4,28,4/9/2023 21:16:20
4,29,4/9/2023 21:16:20
4,30,4/9/2023 21:16:20
4,31,4/9/2023 21:16:20
4,32,4/9/2023 21:16:20
1,33,4/9/2023 21:16:20
4,34,4/9/2023 21:16:20
4,35,4/9/2023 21:16:20
1,36,4/9/2023 21:16:20
4,37,4/9/2023 21:16:20
1,38,4/9/2023 21:16:20
1,39,4/9/2023 21:16:20
1,1,4/9/2023 21:31:20
4,2,4/9/2023 21:31:20
1,3,4/9/2023 21:31:20
1,4,4/9/2023 21:31:20
1,5,4/9/2023 21:31:20
4,6,4/9/2023 21:31:20
1,7,4/9/2023 21:31:20
1,8,4/9/2023 21:31:20
1,9,4/9/2023 21:31:20
4,10,4/9/2023 21:31:20
1,11,4/9/2023 21:31:20
0,12,4/9/2023 21:31:20
0,13,4/9/2023 21:31:20
0,14,4/9/2023 21:31:20
1,15,4/9/2023 21:31:20
0,16,4/9/2023 21:31:20
0,17,4/9/2023 21:31:20
0,18,4/9/2023 21:31:20
4,19,4/9/2023 21:31:20
4,20,4/9/2023 21:31:20
1,21,4/9/2023 21:31:20
4,22,4/9/2023 21:31:20
1,23,4/9/2023 21:31:20
4,24,4/9/2023 21:31:20
1,25,4/9/2023 21:31:20
1,26,4/9/2023 21:31:20
1,27,4/9/2023 21:31:20
4,28,4/9/2023 21:31:20
4,29,4/9/2023 21:31:20
4,30,4/9/2023 21:31:20
4,31,4/9/2023 21:31:20
4,32,4/9/2023 21:31:20
1,33,4/9/2023 21:31:20
4,34,4/9/2023 21:31:20
4,35,4/9/2023 21:31:20
1,36,4/9/2023 21:31:20
4,37,4/9/2023 21:31:20
1,38,4/9/2023 21:31:20
1,39,4/9/2023 21:31:20
1,1,4/9/2023 21:46:20
4,2,4/9/2023 21:46:20
1,3,4/9/2023 21:46:20
1,4,4/9/2023 21:46:20
1,5,4/9/2023 21:46:20
4,6,4/9/2023 21:46:20
1,7,4/9/2023 21:46:20
1,8,4/9/2023 21:46:20
1,9,4/9/2023 21:46:20
4,10,4/9/2023 21:46:20
1,11,4/9/2023 21:46:20
0,12,4/9/2023 21:46:20
0,13,4/9/2023 21:46:20
0,14,4/9/2023 21:46:20
1,15,4/9/2023 21:46:20
0,16,4/9/2023 21:46:20
0,17,4/9/2023 21:46:20
0,18,4/9/2023 21:46:20
4,19,4/9/2023 21:46:20
4,20,4/9/2023 21:46:20
1,21,4/9/2023 21:46:20
4,22,4/9/2023 21:46:20
1,23,4/9/2023 21:46:20
4,24,4/9/2023 21:46:20
1,25,4/9/2023 21:46:20
1,26,4/9/2023 21:46:20
1,27,4/9/2023 21:46:20
4,28,4/9/2023 21:46:20
4,29,4/9/2023 21:46:20
4,30,4/9/2023 21:46:20
4,31,4/9/2023 21:46:20
4,32,4/9/2023 21:46:20
1,33,4/9/2023 21:46:20
4,34,4/9/2023 21:46:20
4,35,4/9/2023 21:46:20
1,36,4/9/2023 21:46:20
4,37,4/9/2023 21:46:20
1,38,4/9/2023 21:46:20
1,39,4/9/2023 21:46:20
1,1,5/9/2023 8:01:20
4,2,5/9/2023 8:01:20
1,3,5/9/2023 8:01:20
1,4,5/9/2023 8:01:20
